Data;Mês;Filial;Tipo de serviço; Faturamento ; Custo ; Meta de faturamento ;Quantidade de serviços;Prazo médio (dias);Resultado;Margem;Atingimento da meta; Ticket médio ; Custo médio por serviço 
15/01/2026;Janeiro;São Paulo;Manutenção preventiva; R$ 35.000,00 ; R$ 22.000,00 ; R$ 32.000,00 ;12;8; R$ 13.000,00 ;37,14%;109,38%; R$ 2.916,67 ; R$ 1.833,33 
15/01/2026;Janeiro;Rio de Janeiro;Manutenção corretiva; R$ 29.800,00 ; R$ 21.100,00 ; R$ 31.000,00 ;8;12; R$ 8.700,00 ;29,19%;96,13%; R$ 3.725,00 ; R$ 2.637,50 
15/01/2026;Janeiro;Belo Horizonte;Inspeção técnica; R$ 22.400,00 ; R$ 13.700,00 ; R$ 23.000,00 ;10;6; R$ 8.700,00 ;38,84%;97,39%; R$ 2.240,00 ; R$ 1.370,00 
15/01/2026;Janeiro;Salvador;Manutenção preventiva; R$ 26.500,00 ; R$ 17.400,00 ; R$ 25.000,00 ;9;9; R$ 9.100,00 ;34,34%;106,00%; R$ 2.944,44 ; R$ 1.933,33 
15/02/2026;Fevereiro;São Paulo;Manutenção corretiva; R$ 38.200,00 ; R$ 24.900,00 ; R$ 35.000,00 ;11;11; R$ 13.300,00 ;34,82%;109,14%; R$ 3.472,73 ; R$ 2.263,64 
15/02/2026;Fevereiro;Rio de Janeiro;Inspeção técnica; R$ 27.600,00 ; R$ 16.500,00 ; R$ 27.000,00 ;13;7; R$ 11.100,00 ;40,22%;102,22%; R$ 2.123,08 ; R$ 1.269,23 
15/02/2026;Fevereiro;Belo Horizonte;Manutenção preventiva; R$ 24.100,00 ; R$ 14.800,00 ; R$ 25.000,00 ;9;8; R$ 9.300,00 ;38,59%;96,40%; R$ 2.677,78 ; R$ 1.644,44 
15/02/2026;Fevereiro;Salvador;Manutenção corretiva; R$ 28.300,00 ; R$ 20.100,00 ; R$ 29.000,00 ;7;13; R$ 8.200,00 ;28,98%;97,59%; R$ 4.042,86 ; R$ 2.871,43 
15/03/2026;Março;São Paulo;Inspeção técnica; R$ 36.900,00 ; R$ 21.300,00 ; R$ 36.000,00 ;15;6; R$ 15.600,00 ;42,28%;102,50%; R$ 2.460,00 ; R$ 1.420,00 
15/03/2026;Março;Rio de Janeiro;Manutenção preventiva; R$ 32.100,00 ; R$ 19.800,00 ; R$ 30.000,00 ;11;8; R$ 12.300,00 ;38,32%;107,00%; R$ 2.918,18 ; R$ 1.800,00 
15/03/2026;Março;Belo Horizonte;Manutenção corretiva; R$ 25.900,00 ; R$ 18.500,00 ; R$ 27.000,00 ;7;14; R$ 7.400,00 ;28,57%;95,93%; R$ 3.700,00 ; R$ 2.642,86 
15/03/2026;Março;Salvador;Inspeção técnica; R$ 23.800,00 ; R$ 14.200,00 ; R$ 24.000,00 ;10;7; R$ 9.600,00 ;40,34%;99,17%; R$ 2.380,00 ; R$ 1.420,00 
15/04/2026;Abril;São Paulo;Manutenção preventiva; R$ 41.200,00 ; R$ 25.100,00 ; R$ 39.000,00 ;14;7; R$ 16.100,00 ;39,08%;105,64%; R$ 2.942,86 ; R$ 1.792,86 
15/04/2026;Abril;Rio de Janeiro;Manutenção corretiva; R$ 33.500,00 ; R$ 23.700,00 ; R$ 34.000,00 ;9;12; R$ 9.800,00 ;29,25%;98,53%; R$ 3.722,22 ; R$ 2.633,33 
15/04/2026;Abril;Belo Horizonte;Inspeção técnica; R$ 26.700,00 ; R$ 15.800,00 ; R$ 26.000,00 ;12;6; R$ 10.900,00 ;40,82%;102,69%; R$ 2.225,00 ; R$ 1.316,67 
15/04/2026;Abril;Salvador;Manutenção preventiva; R$ 29.100,00 ; R$ 18.100,00 ; R$ 28.000,00 ;10;8; R$ 11.000,00 ;37,80%;103,93%; R$ 2.910,00 ; R$ 1.810,00 
15/05/2026;Maio;São Paulo;Manutenção corretiva; R$ 39.800,00 ; R$ 27.700,00 ; R$ 41.000,00 ;10;13; R$ 12.100,00 ;30,40%;97,07%; R$ 3.980,00 ; R$ 2.770,00 
15/05/2026;Maio;Rio de Janeiro;Inspeção técnica; R$ 34.200,00 ; R$ 20.100,00 ; R$ 32.000,00 ;14;6; R$ 14.100,00 ;41,23%;106,88%; R$ 2.442,86 ; R$ 1.435,71 
